Seconds,Throughput/second
1676155880,3336
1676155881,3317
1676155882,3261
1676155883,3462
1676155884,3246
1676155885,3380
1676155886,3243
1676155887,3309
1676155872,3252
1676155873,3288
1676155874,3366
1676155875,3420
1676155876,3081
1676155877,3329
1676155878,3292
1676155879,3428
1676155896,3505
1676155897,3368
1676155898,3166
1676155899,3472
1676155900,3177
1676155901,3125
1676155902,3320
1676155903,3346
1676155888,3412
1676155889,3342
1676155890,3336
1676155891,3327
1676155892,3388
1676155893,3071
1676155894,3385
1676155895,3253
1676155848,3323
1676155849,3472
1676155850,3305
1676155851,3442
1676155852,3300
1676155853,3275
1676155854,3394
1676155855,3384
1676155840,3248
1676155841,3335
1676155842,3268
1676155843,3347
1676155844,3491
1676155845,3267
1676155846,3445
1676155847,3222
1676155864,3415
1676155865,3399
1676155866,3321
1676155867,3445
1676155868,3282
1676155869,3519
1676155870,3302
1676155871,3419
1676155856,3232
1676155857,3206
1676155858,3245
1676155859,3218
1676155860,3033
1676155861,3384
1676155862,3266
1676155863,3412
1676155816,3393
1676155817,3403
1676155818,3368
1676155819,3078
1676155820,3254
1676155821,2920
1676155822,3443
1676155823,3238
1676155808,3332
1676155809,3289
1676155810,3409
1676155811,3480
1676155812,3407
1676155813,3415
1676155814,3371
1676155815,3341
1676155832,3485
1676155833,3314
1676155834,3356
1676155835,3333
1676155836,3339
1676155837,3425
1676155838,3271
1676155839,3302
1676155824,3413
1676155825,3266
1676155826,3416
1676155827,3404
1676155828,3542
1676155829,3259
1676155830,3348
1676155831,3367
1676155784,3273
1676155785,3224
1676155786,3479
1676155787,3446
1676155788,3443
1676155789,3394
1676155790,3455
1676155791,3100
1676155776,2857
1676155777,3441
1676155778,3366
1676155779,3333
1676155780,2081
1676155781,3321
1676155782,2987
1676155783,3348
1676155800,3525
1676155801,3334
1676155802,3350
1676155803,3289
1676155804,3375
1676155805,3122
1676155806,3399
1676155807,3393
1676155792,3167
1676155793,3420
1676155794,3196
1676155795,3354
1676155796,3202
1676155797,3291
1676155798,3420
1676155799,3225
1676155751,500
1676155768,2170
1676155769,3410
1676155770,3268
1676155771,3321
1676155772,3304
1676155773,3612
1676155774,3090
1676155775,3537
1676155760,500
1676155762,89
1676155763,1643
1676155764,1890
1676155765,2568
1676155766,1208
1676155767,2216
1676155912,3536
1676155913,3288
1676155914,3304
1676155915,2532
1676155916,170
1676155917,2
1676155904,3493
1676155905,3299
1676155906,3229
1676155907,3138
1676155908,3302
1676155909,3440
1676155910,3504
1676155911,3227
